timestamp,symbol,type,price
2025-02-01 16:59:51.027976,SANDUSDT,SELL,0.51232
2025-02-01 16:59:51.772013,SANDUSDT,SELL,0.51232
2025-02-01 16:59:52.543415,SANDUSDT,SELL,0.5123
2025-02-01 17:00:03.992447,BTCUSDT,SELL,101839.6
2025-02-01 17:00:05.475186,BTCUSDT,SELL,101840.9
2025-02-01 17:00:06.236051,BTCUSDT,SELL,101840.9
2025-02-01 17:00:10.020110,BNBUSDT,SELL,669.08
2025-02-01 17:00:10.797750,BNBUSDT,SELL,669.08
2025-02-01 17:00:17.726864,XRPUSDT,SELL,2.9733
2025-02-01 17:00:18.513607,XRPUSDT,SELL,2.9734
2025-02-01 17:00:19.282371,SOLUSDT,SELL,226.84
2025-02-01 17:00:29.512972,LINKUSDT,SELL,24.53
2025-02-01 17:00:31.852016,LTCUSDT,SELL,122.05
2025-02-01 17:00:32.632662,LTCUSDT,SELL,122.05
2025-02-01 17:00:33.431165,LTCUSDT,SELL,122.05
2025-02-01 17:00:35.730734,BCHUSDT,SELL,419.85
2025-02-01 17:00:38.805324,AVAXUSDT,SELL,33.553
2025-02-01 17:00:41.166655,FILUSDT,SELL,4.652
2025-02-01 17:00:41.995917,FILUSDT,SELL,4.652
2025-02-01 17:00:42.788916,FILUSDT,SELL,4.652
2025-02-01 17:00:44.354313,XLMUSDT,SELL,0.40472
2025-02-01 17:00:45.378517,XLMUSDT,SELL,0.40472
2025-02-01 17:00:48.199989,TRXUSDT,SELL,0.25338
2025-02-01 17:00:53.035043,NEARUSDT,SELL,4.45
2025-02-01 17:00:55.286905,ATOMUSDT,SELL,6.124
2025-02-01 17:00:57.580589,SANDUSDT,SELL,0.51232
2025-02-01 17:00:58.441374,SANDUSDT,SELL,0.51232
2025-02-01 17:01:10.683250,BTCUSDT,SELL,101809.8
2025-02-01 17:01:12.280510,BTCUSDT,SELL,101809.7
2025-02-01 17:01:12.998011,BTCUSDT,SELL,101809.7
2025-02-01 17:01:17.579847,BNBUSDT,SELL,669.12
2025-02-01 17:01:25.505404,XRPUSDT,SELL,2.9756
2025-02-01 17:01:35.677101,LINKUSDT,SELL,24.57
2025-02-01 17:01:38.811331,LTCUSDT,SELL,122.24
2025-02-01 17:01:39.632621,LTCUSDT,SELL,122.25
2025-02-01 17:02:01.311790,ATOMUSDT,SELL,6.133
2025-02-01 17:02:16.701823,BTCUSDT,SELL,101820.1
2025-02-01 17:02:18.194446,BTCUSDT,SELL,101836.5
2025-02-01 17:02:18.899991,BTCUSDT,SELL,101832.2
2025-02-01 17:02:32.401137,XRPUSDT,SELL,2.9789
2025-02-01 17:02:46.475054,LTCUSDT,SELL,122.31
2025-02-01 17:02:47.401991,LTCUSDT,SELL,122.29
2025-02-01 17:03:09.668524,ATOMUSDT,SELL,6.143
2025-02-01 17:03:25.024426,BTCUSDT,SELL,101873.6
2025-02-01 17:03:26.582394,BTCUSDT,SELL,101869.7
2025-02-01 17:03:27.456936,BTCUSDT,SELL,101869.7
2025-02-01 17:03:40.092211,XRPUSDT,SELL,2.9789
2025-02-01 17:03:51.095564,LINKUSDT,SELL,24.557
2025-02-01 17:03:54.991806,LTCUSDT,SELL,122.3
2025-02-01 17:03:55.797447,LTCUSDT,SELL,122.3
2025-02-01 17:03:58.077553,BCHUSDT,SELL,419.75
2025-02-01 17:04:33.664184,BTCUSDT,SELL,101887.5
2025-02-01 17:04:34.544809,BTCUSDT,SELL,101887.5
2025-02-01 17:04:46.755494,XRPUSDT,SELL,2.9786
